"id" "time" "EMG" "self" "truestate" "trueregime"
1 1 2.149825 0.9997466 -0.8501754 0
1 2 3.383545 0.9997794 0.3835448 0
1 3 3.398061 0.9997575 0.3980606 0
1 4 3.367158 0.9997867 0.3671584 0
1 5 2.719811 0.9997757 -0.2801894 0
1 6 3.136761 1.018664 0.136761 0
1 7 3.410898 1.157755 0.4108983 0
1 8 3.198748 1.394856 0.1987483 0
1 9 2.782673 1.59493 -0.2173267 0
1 10 2.446297 1.780663 -0.5537028 0
1 11 1.83973 1.939992 -1.16027 0
1 12 2.902333 2.084488 -0.09766672 0
1 13 2.925191 2.189219 -0.07480865 0
1 14 3.125935 2.427527 0.1259349 0
1 15 3.195385 2.657098 0.1953848 0
1 16 2.727473 2.866722 -0.2725271 0
1 17 2.74161 3.016806 -0.2583897 0
1 18 2.851083 3.02279 -0.1489172 0
1 19 3.64173 3.113047 0.6417299 0
1 20 2.794676 3.412769 -0.2053235 0
1 21 3.000617 3.707458 0.0006171495 0
1 22 3.083006 3.768694 0.08300552 0
1 23 2.880067 3.76917 -0.1199332 0
1 24 2.583151 3.768601 -0.4168493 0
1 25 2.756674 3.767978 -0.2433258 0
1 26 3.5339 3.767472 0.5339002 0
1 27 2.74691 3.768133 -0.2530903 0
1 28 3.382707 3.768097 0.3827071 0
1 29 3.378887 3.768064 0.3788871 0
1 30 2.98394 3.768144 -0.01605962 0
1 31 2.164191 3.76772 -0.8358093 0
1 32 1.618163 3.768215 -1.381837 0
1 33 2.615433 3.76781 -0.3845675 0
1 34 1.86052 3.768875 -1.13948 0
1 35 2.291593 3.743139 -0.7084068 0
1 36 2.939103 3.526366 -0.06089702 0
1 37 2.496871 3.073763 -0.503129 0
1 38 4.662298 2.725568 1.662298 0
1 39 3.462136 2.480249 0.462136 0
1 40 2.33373 2.15238 -0.66627 0
1 41 2.368865 1.90901 -0.6311349 0
1 42 2.606434 1.743144 -0.3935664 0
1 43 2.87106 1.639259 -0.1289405 0
1 44 2.916289 1.521696 -0.08371126 0
1 45 3.170184 1.376043 0.1701844 0
1 46 2.539808 1.21389 -0.460192 0
1 47 2.98057 1.138329 -0.0194305 0
1 48 2.750493 1.065257 -0.2495068 0
1 49 2.812447 1.059408 -0.1875529 0
1 50 2.256012 1.041683 -0.7439875 0
1 51 3.003499 1.021863 0.003499039 0
1 52 3.664761 1.001982 0.6647606 0
1 53 2.974889 0.999885 -0.02511104 0
1 54 2.629369 0.9998176 -0.3706312 0
1 55 2.784315 0.999832 -0.2156852 0
1 56 1.970316 0.9998814 -1.029684 0
1 57 2.503596 0.9998467 -0.4964045 0
1 58 2.964295 0.9998103 -0.03570495 0
1 59 3.243803 0.9998176 0.2438032 0
1 60 3.443368 0.9998122 0.4433677 0
1 61 2.973367 0.9998468 -0.02663317 0
1 62 3.031585 0.9998631 0.03158451 0
1 63 2.833599 0.9998305 -0.1664006 0
1 64 2.02659 0.9998413 -0.9734104 0
1 65 3.839667 1.017536 0.8396669 0
1 66 3.068395 1.203912 0.06839519 0
1 67 4.888107 1.492405 0.141905 0
1 68 5.203022 1.960143 0.22295 1
1 69 5.633618 2.401437 0.4328996 1
1 70 6.399432 2.910512 0.9441759 1
1 71 6.925977 3.219905 1.316024 1
1 72 6.212896 3.401017 0.5123879 1
1 73 6.388408 3.559281 0.608767 1
1 74 6.088637 3.863337 0.1569688 1
1 75 6.532595 4.129708 0.4677415 1
1 76 6.829438 4.164224 0.7473259 1
1 77 6.446566 4.164383 0.3643746 1
1 78 6.084198 4.160868 0.003763587 1
1 79 5.280305 4.162797 -0.8010938 1
1 80 5.176215 4.164585 -0.906077 1
1 81 4.945523 4.16488 -1.136917 1
1 82 4.50548 4.165132 -1.577086 1
1 83 5.551669 4.17443 -0.5355465 1
1 84 6.509885 4.178274 0.4207482 1
1 85 5.97562 4.179108 -0.1139344 1
1 86 5.279158 4.181713 -0.8116988 1
1 87 6.093589 4.183075 0.002051363 1
1 88 5.171993 4.183929 -0.9199715 1
1 89 5.289226 4.184817 -0.8031827 1
1 90 4.623248 4.188357 -1.470931 1
1 91 4.251477 4.199229 -1.848138 1
1 92 4.691504 4.208093 -1.412542 1
1 93 4.320803 4.208121 -1.783257 1
1 94 5.091272 4.20951 -1.013483 1
1 95 5.538515 4.21072 -0.5668445 1
1 96 5.15145 4.210925 -0.9540127 1
1 97 5.245 4.210884 -0.860442 1
1 98 5.615227 4.210547 -0.4900461 1
1 99 3.307628 3.930107 0.3076283 1
1 100 3.062672 3.525781 0.06267245 0
1 101 3.539463 3.161084 0.539463 0
1 102 3.74935 2.885114 0.74935 0
1 103 4.014921 2.50979 1.014921 0
1 104 2.901672 2.014837 -0.09832778 0
1 105 1.698663 1.795763 -1.301337 0
1 106 2.689376 1.795792 -0.3106242 0
1 107 3.244862 1.795774 0.2448623 0
1 108 3.300973 1.795788 0.3009726 0
1 109 3.328352 1.795766 0.3283518 0
1 110 3.946636 1.795732 0.946636 0
1 111 2.501409 1.795803 -0.4985911 0
1 112 2.744257 1.795838 -0.2557426 0
1 113 2.865931 1.795783 -0.1340695 0
1 114 2.882188 1.795814 -0.1178117 0
1 115 2.868785 1.795801 -0.1312151 0
1 116 2.895484 1.795829 -0.1045158 0
1 117 3.043226 1.795808 0.04322626 0
1 118 3.957937 1.795796 0.9579371 0
1 119 3.229587 1.795794 0.2295867 0
1 120 2.994786 1.795816 -0.005214367 0
1 121 3.891413 1.795617 0.8914133 0
1 122 3.124643 1.795788 0.1246435 0
1 123 3.019865 1.795797 0.01986532 0
1 124 2.94874 1.795843 -0.05126016 0
1 125 3.898273 1.795834 0.8982727 0
1 126 3.138689 1.795883 0.1386886 0
1 127 3.496615 1.79577 0.4966153 0
1 128 3.227662 1.795839 0.2276624 0
1 129 2.643441 1.364727 -0.3565587 0
1 130 2.328614 0.999743 -0.6713863 0
1 131 3.180167 0.9997229 0.1801668 0
1 132 2.899134 0.9997594 -0.1008661 0
1 133 2.945357 0.9997375 -0.05464306 0
1 134 3.95485 0.9997412 0.9548502 0
1 135 3.998614 0.9997975 0.9986143 0
1 136 3.623385 0.9998377 0.6233846 0
1 137 2.629923 0.9997867 -0.3700774 0
1 138 2.940041 0.9998012 -0.05995917 0
1 139 1.896864 0.999792 -1.103136 0
1 140 2.585255 0.9998468 -0.4147446 0
1 141 2.780275 0.9998321 -0.2197247 0
1 142 3.005979 0.9997957 0.005978634 0
1 143 2.301066 0.9997721 -0.6989342 0
1 144 1.861092 0.9997848 -1.138908 0
1 145 3.252036 0.9998358 0.2520355 0
1 146 3.765181 0.9997703 0.7651814 0
1 147 2.892014 0.999794 -0.1079857 0
1 148 3.128059 0.9998304 0.1280589 0
1 149 3.964726 0.999794 0.9647261 0
1 150 2.866392 0.9998322 -0.1336084 0
1 151 2.630762 0.9997939 -0.3692383 0
1 152 3.000377 0.9998432 0.0003765556 0
1 153 2.728417 0.9998286 -0.2715833 0
1 154 2.541017 0.9998048 -0.4589827 0
1 155 2.772966 0.999803 -0.227034 0
1 156 3.487373 0.9998231 0.4873734 0
1 157 2.508422 0.9998121 -0.4915783 0
1 158 2.847494 0.9998376 -0.1525055 0
1 159 1.8691 0.9998303 -1.1309 0
1 160 3.286149 0.9998267 0.2861487 0
1 161 2.481268 0.9998212 -0.5187319 0
1 162 2.569042 0.9998414 -0.4309579 0
1 163 3.347171 0.999843 0.3471711 0
1 164 3.242979 0.9998249 0.2429787 0
1 165 3.094309 0.9998594 0.09430859 0
1 166 2.908243 0.9998048 -0.09175651 0
1 167 2.599341 0.9998049 -0.4006586 0
1 168 2.737426 0.9997885 -0.2625737 0
1 169 3.094572 0.999803 0.09457244 0
1 170 2.695263 0.9997884 -0.3047366 0
1 171 2.588358 0.9997448 -0.4116422 0
1 172 2.754252 0.999814 -0.2457475 0
1 173 1.888555 0.9998177 -1.111445 0
1 174 2.74027 0.999843 -0.2597303 0
1 175 3.103955 0.999843 0.1039552 0
1 176 3.098467 0.9998321 0.09846733 0
1 177 2.833979 0.9998378 -0.1660213 0
1 178 2.864911 0.9997593 -0.1350891 0
1 179 3.05142 0.999863 0.05141961 0
1 180 2.588065 0.9998484 -0.4119347 0
1 181 3.51557 0.9998412 0.5155698 0
1 182 2.444169 0.9997886 -0.5558309 0
1 183 3.290095 0.9998193 0.2900952 0
1 184 2.648439 0.9998122 -0.3515609 0
1 185 3.128341 0.9998176 0.1283406 0
1 186 2.086623 0.9998394 -0.9133772 0
1 187 2.463141 0.9997902 -0.5368588 0
1 188 2.676797 0.999814 -0.3232033 0
1 189 2.902213 0.9998522 -0.09778705 0
1 190 2.245144 0.9998103 -0.7548561 0
