"id" "time" "y1" "y2" "y3" "y4" "y5" "y6"
1 1 0.42133 -0.3381 -0.54793 0.52187 0.78358 1.0129
1 2 -0.60951 0.099425 0.31781 0.31168 -0.4321 0.36051
1 3 0.67078 1.4149 0.87211 0.62856 0.76278 0.62123
1 4 0.85465 0.82096 -0.10005 -0.054375 0.23358 0.29745
1 5 NA 0.45222 0.32152 -0.68187 NA NA
1 6 0.52437 -0.30593 -0.26307 -1.5362 -1.4519 -1.221
1 7 1.3034 1.1343 1.8012 -0.89707 -0.43804 0.11151
1 8 NA NA NA NA NA NA
1 9 0.26071 0.5049 0.77241 -1.0014 -1.1263 -1.8303
1 10 NA NA NA NA NA NA
1 11 NA -0.29818 0.11936 -0.83052 NA NA
1 12 0.18695 -0.46325 -0.62773 0.53105 0.18777 0.17153
1 13 -0.09206 0.028345 -0.66526 -0.29886 -0.30209 0.048286
1 14 -1.1382 -0.41422 -0.66368 0.56011 1.1004 0.65182
1 15 0.2445 0.14545 -0.19532 0.64483 -0.060754 0.29708
1 16 -0.21592 0.085515 0.52701 -0.029973 -0.16431 0.29415
1 17 0.14164 0.022375 -0.068129 1.0077 0.48027 0.44309
1 18 -0.009475 -0.51423 -0.81468 1.0519 1.1106 0.92844
1 19 NA -0.86061 -0.76903 1.2268 NA NA
1 20 -0.52334 -0.58703 -0.32099 0.90487 0.81695 1.4496
1 21 -1.3645 -1.4573 -1.8034 0.030038 -0.61291 0.2825
1 22 -0.47366 0.10858 0.33134 0.28856 0.24097 -0.059837
1 23 -0.53789 -1.1559 -0.57052 0.30244 0.56534 1.1681
1 24 NA -0.74314 -0.49638 0.88665 NA NA
1 25 -0.21362 0.36283 -0.33304 1.2032 1.4221 0.64123
1 26 0.23157 0.69034 0.19673 0.49133 -0.3606 -0.38137
1 27 NA NA NA NA NA NA
1 28 -0.54246 -0.5198 -0.58435 0.020138 0.64102 0.22395
1 29 -0.090901 -0.71172 -0.84995 0.70958 0.25404 -0.27779
1 30 0.89707 0.092789 -0.67153 -0.042882 -0.35256 -0.24245
1 31 0.20357 0.30564 0.5558 0.46952 -0.21897 -0.59251
1 32 -0.23553 0.25478 -0.13754 0.23881 0.20842 0.81479
1 33 0.14499 -0.073739 -0.54438 1.6725 1.9511 1.3489
1 34 -1.0302 -0.86045 -1.1008 1.2629 1.4648 0.98501
1 35 -0.52987 -1.0992 -0.86697 0.68651 0.61608 0.70729
1 36 0.014797 0.62922 0.27269 1.1417 1.2192 1.4045
1 37 0.18974 0.095119 0.14862 0.41511 0.0067692 0.91837
1 38 -0.35343 -0.0046434 -0.44481 0.513 0.50878 0.37358
1 39 -1.4512 -0.80524 -1.1672 0.448 0.23547 0.39395
1 40 -1.8693 -1.4335 -1.6366 -1.2341 -0.89572 -0.94991
1 41 -0.93315 -0.12742 -0.41074 -0.049724 -0.33155 0.35134
1 42 NA 0.20853 0.47326 0.18077 NA NA
1 43 0.68168 1.3073 1.1932 0.52926 -0.15875 -0.34767
1 44 0.53887 0.55003 0.39679 0.20791 0.73732 -0.15372
1 45 -0.077655 -0.87478 -1.3886 -0.059204 -0.46146 -0.86739
1 46 1.0497 0.6535 0.95835 0.78765 0.35293 0.48223
1 47 0.22442 0.49614 0.083269 -0.2359 0.48396 -0.017598
1 48 0.22611 -0.18207 -0.25742 -0.31826 0.82638 0.7028
1 49 -0.0991 -0.88862 0.37383 -0.29808 -0.62067 -0.22366
1 50 NA -0.2672 0.50959 -0.098074 NA NA
1 51 -0.37523 -0.92076 -0.87629 -0.11682 -0.30763 0.27029
1 52 0.92963 0.052016 0.19761 0.2466 0.48286 0.24308
1 53 0.090299 1.1119 0.64896 0.092841 -0.30679 0.10632
1 54 NA -0.70164 -0.75389 0.80813 NA NA
1 55 NA -0.85215 -0.35919 0.45842 NA NA
1 56 0.34699 0.50322 0.8884 0.98563 1.7765 1.0194
1 57 0.52219 0.64937 0.63274 0.25361 0.81028 0.71559
1 58 0.11413 -0.18408 -0.29328 1.0742 0.71272 1.026
1 59 -0.25034 0.14639 -0.50093 -1.4399 -1.4957 -1.7137
1 60 -2.0881 -2.7382 -2.76 -0.15273 -0.68221 0.4032
1 61 -0.66364 -0.1766 -0.52708 0.37997 0.66105 1.2403
1 62 NA NA NA NA NA NA
1 63 0.0074958 -0.35107 -0.079343 -0.39131 0.21547 0.15249
1 64 -1.0804 0.37496 0.082996 0.35676 0.40657 0.060537
1 65 -0.55566 -0.30897 -0.25712 0.10217 -0.20198 -0.19785
1 66 NA -0.10453 0.27594 0.37746 NA NA
1 67 -0.66987 -0.007678 0.16672 -0.76565 -1.0039 -0.24195
1 68 -1.1563 -1.2514 -0.58929 -0.91426 -1.2778 -0.28099
1 69 0.16637 -0.75392 -0.3595 -0.53337 -0.1366 -0.56161
1 70 0.37048 -0.63559 -0.12265 0.5638 0.36631 0.1412
1 71 -0.11642 0.78344 0.45841 -0.25001 0.32752 0.17668
1 72 NA NA NA NA NA NA
1 73 0.048195 0.59525 -0.091835 -0.9167 0.6705 0.14287
1 74 -1.3499 -1.4302 -0.61144 -0.29599 0.095306 0.073703
1 75 0.36429 0.1301 0.31949 0.21201 0.33998 -0.074484
1 76 0.2123 0.7492 0.83453 -1.0098 -1.5314 -1.342
1 77 0.49906 -0.0043712 -0.024444 -0.68281 -0.99318 -1.0341
1 78 NA NA NA NA NA NA
1 79 0.45977 0.44126 0.60302 0.76653 0.88264 0.54582
1 80 -0.67738 -0.11213 0.48399 0.56101 0.40646 0.50144
1 81 -0.16999 -0.047196 -0.45497 1.1083 0.81926 0.53867
1 82 1.6397 -0.16864 0.29899 0.27927 0.65359 0.31199
1 83 NA NA NA NA NA NA
1 84 -0.36343 0.35533 -0.43225 0.083578 0.26475 -0.11689
1 85 -0.25419 -0.77071 -1.177 -0.83619 -1.2452 -1.1575
1 86 NA 0.63904 0.49596 -0.94016 NA NA
1 87 NA NA NA NA NA NA
1 88 0.50751 -1.1734 -0.65107 -0.1318 -0.63503 -0.87684
1 89 -0.73864 -0.79617 -1.4 -0.26938 0.13469 0.1477
1 90 -1.0511 -0.35279 -0.97738 -0.13006 0.053813 -0.33211
1 91 0.49461 -0.41904 -0.080361 -0.27985 -0.22129 -0.47229
1 92 -0.014126 0.17543 0.00052926 -0.24337 -0.15316 0.27319
1 93 -0.42116 -0.86204 0.071794 -0.99736 -0.5483 -0.49165
1 94 -0.55921 0.62367 0.5586 1.1304 0.66365 0.24371
1 95 -0.44426 -0.49732 -0.21058 -0.38489 -0.87913 -0.00055737
1 96 NA 0.0054082 -0.22673 -0.67856 NA NA
1 97 2.1826 0.59733 0.38238 -0.37291 -0.074354 0.2857
1 98 -0.96145 -0.55863 -0.48243 -0.060437 -0.42956 -1.026
1 99 NA NA NA NA NA NA
