"id" "time_O" "obs" "shock.O"
1 22 2 4.01415129211973
1 26 3 3.60470933083701
1 50 2 -4.01415129211973
1 28 2 -4.01415129211973
1 54 4 3.6922521947066
1 49 4 -3.6922521947066
2 41 5 3.35857235714011
2 12 5 -3.35857235714011
2 7 2 4.01415129211973
2 20 5 3.35857235714011
2 54 4 -3.6922521947066
2 31 1 -4.42717625860142
3 33 6 3.02901713635992
3 29 2 -4.01415129211973
3 26 6 3.02901713635992
3 54 1 -4.42717625860142
3 8 6 3.02901713635992
3 48 1 4.42717625860142
4 39 6 -3.02901713635992
4 14 3 -3.60470933083701
4 45 6 -3.02901713635992
4 6 6 3.02901713635992
4 20 6 -3.02901713635992
4 12 6 -3.02901713635992
5 30 4 3.6922521947066
5 21 4 -3.6922521947066
5 46 2 -4.01415129211973
5 13 1 4.42717625860142
5 39 5 -3.35857235714011
5 5 5 -3.35857235714011
6 56 1 4.42717625860142
6 40 6 3.02901713635992
6 24 2 -4.01415129211973
6 22 6 -3.02901713635992
6 47 3 -3.60470933083701
6 7 5 3.35857235714011
7 18 5 3.35857235714011
7 41 6 3.02901713635992
7 16 2 -4.01415129211973
7 49 3 3.60470933083701
7 19 6 3.02901713635992
7 27 3 3.60470933083701
8 54 3 -3.60470933083701
8 31 2 4.01415129211973
8 47 6 3.02901713635992
8 19 5 -3.35857235714011
8 29 4 -3.6922521947066
8 32 3 -3.60470933083701
9 30 2 -4.01415129211973
9 31 6 -3.02901713635992
9 45 6 3.02901713635992
9 26 5 -3.35857235714011
9 52 1 -4.42717625860142
9 16 3 -3.60470933083701
10 48 6 3.02901713635992
10 30 2 -4.01415129211973
10 10 5 3.35857235714011
10 40 5 -3.35857235714011
10 20 2 -4.01415129211973
10 14 2 -4.01415129211973
11 12 4 -3.6922521947066
11 21 2 4.01415129211973
11 14 5 -3.35857235714011
11 39 1 -4.42717625860142
11 24 1 -4.42717625860142
11 5 2 4.01415129211973
12 27 3 3.60470933083701
12 53 5 -3.35857235714011
12 45 4 -3.6922521947066
12 47 4 -3.6922521947066
12 23 5 -3.35857235714011
12 7 5 3.35857235714011
13 45 4 -3.6922521947066
13 46 4 -3.6922521947066
13 38 3 -3.60470933083701
13 11 1 -4.42717625860142
13 26 1 4.42717625860142
13 50 3 -3.60470933083701
14 32 4 -3.6922521947066
14 22 5 3.35857235714011
14 19 6 3.02901713635992
14 54 1 -4.42717625860142
14 41 6 3.02901713635992
14 46 6 3.02901713635992
15 30 4 3.6922521947066
15 5 2 -4.01415129211973
15 17 6 -3.02901713635992
15 46 3 -3.60470933083701
15 6 3 3.60470933083701
15 22 2 4.01415129211973
16 52 4 -3.6922521947066
16 26 6 -3.02901713635992
16 48 4 3.6922521947066
16 38 1 4.42717625860142
16 46 5 3.35857235714011
16 20 3 -3.60470933083701
17 12 4 3.6922521947066
17 30 1 -4.42717625860142
17 55 3 -3.60470933083701
17 45 4 3.6922521947066
17 48 2 -4.01415129211973
17 32 5 3.35857235714011
18 8 1 -4.42717625860142
18 12 5 -3.35857235714011
18 53 6 -3.02901713635992
18 21 3 3.60470933083701
18 19 1 -4.42717625860142
18 18 2 4.01415129211973
19 11 5 -3.35857235714011
19 19 3 -3.60470933083701
19 6 2 -4.01415129211973
19 22 2 4.01415129211973
19 16 2 4.01415129211973
19 8 5 -3.35857235714011
20 29 3 3.60470933083701
20 28 4 3.6922521947066
20 16 2 -4.01415129211973
20 37 2 -4.01415129211973
20 13 3 -3.60470933083701
20 50 2 4.01415129211973
21 19 4 3.6922521947066
21 16 4 3.6922521947066
21 48 3 -3.60470933083701
21 4 2 -4.01415129211973
21 50 4 -3.6922521947066
21 10 3 -3.60470933083701
22 22 4 3.6922521947066
22 47 4 -3.6922521947066
22 51 3 3.60470933083701
22 19 3 3.60470933083701
22 35 2 4.01415129211973
22 4 1 4.42717625860142
23 42 2 -4.01415129211973
23 16 5 -3.35857235714011
23 57 5 -3.35857235714011
23 50 1 -4.42717625860142
23 19 5 -3.35857235714011
23 29 3 -3.60470933083701
24 11 1 4.42717625860142
24 43 2 -4.01415129211973
24 36 1 -4.42717625860142
24 33 2 -4.01415129211973
24 31 4 3.6922521947066
24 26 1 -4.42717625860142
25 38 3 -3.60470933083701
25 32 4 -3.6922521947066
25 4 2 -4.01415129211973
25 16 2 -4.01415129211973
25 48 4 3.6922521947066
25 54 4 3.6922521947066
26 39 6 -3.02901713635992
26 35 6 -3.02901713635992
26 48 3 3.60470933083701
26 52 1 4.42717625860142
26 4 5 3.35857235714011
26 19 2 4.01415129211973
27 31 1 -4.42717625860142
27 32 3 3.60470933083701
27 18 4 -3.6922521947066
27 39 3 3.60470933083701
27 16 6 -3.02901713635992
27 52 5 -3.35857235714011
28 49 4 -3.6922521947066
28 26 1 4.42717625860142
28 8 1 4.42717625860142
28 32 4 3.6922521947066
28 13 2 -4.01415129211973
28 21 1 4.42717625860142
29 22 5 3.35857235714011
29 56 3 -3.60470933083701
29 20 2 4.01415129211973
29 54 6 -3.02901713635992
29 29 5 3.35857235714011
29 35 5 3.35857235714011
30 32 5 -3.35857235714011
30 33 6 -3.02901713635992
30 57 2 4.01415129211973
30 29 1 4.42717625860142
30 55 6 -3.02901713635992
30 6 2 4.01415129211973
31 33 5 -3.35857235714011
31 12 2 4.01415129211973
31 10 2 4.01415129211973
31 28 5 3.35857235714011
31 42 6 3.02901713635992
31 5 1 -4.42717625860142
32 55 1 -4.42717625860142
32 26 6 3.02901713635992
32 54 6 -3.02901713635992
32 18 5 3.35857235714011
32 48 6 3.02901713635992
32 27 3 3.60470933083701
33 31 1 4.42717625860142
33 8 2 -4.01415129211973
33 16 2 -4.01415129211973
33 41 4 -3.6922521947066
33 57 4 3.6922521947066
33 22 3 3.60470933083701
34 46 2 -4.01415129211973
34 43 2 4.01415129211973
34 19 6 -3.02901713635992
34 23 6 -3.02901713635992
34 49 3 3.60470933083701
34 42 3 -3.60470933083701
35 31 2 -4.01415129211973
35 35 1 -4.42717625860142
35 33 5 3.35857235714011
35 57 5 -3.35857235714011
35 29 2 4.01415129211973
35 53 5 -3.35857235714011
36 38 4 3.6922521947066
36 12 5 3.35857235714011
36 22 3 3.60470933083701
36 26 6 -3.02901713635992
36 37 1 4.42717625860142
36 34 3 -3.60470933083701
37 16 5 -3.35857235714011
37 4 2 4.01415129211973
37 40 4 -3.6922521947066
37 42 5 3.35857235714011
37 39 4 3.6922521947066
37 48 6 3.02901713635992
